player_id,match_id,player,goals,shots,xG,yellow_cards,red_cards,key_passes,assists,xA,h_a,minutes_played,position,position_order
5288,27748,Gregor Kobel,0,0,0,0,0,0,0,0,h,90,GK,1
7485,27748,Nico Schlotterbeck,0,2,0.02620670385658741,0,0,1,0,0.028114479035139084,h,90,DC,3
75,27748,Niklas Süle,0,2,0.1406863033771515,0,0,1,0,0.019434256479144096,h,90,DC,3
106,27748,Waldemar Anton,0,2,0.05424274876713753,0,0,0,0,0,h,90,DC,3
7997,27748,Julian Ryerson,0,1,0.04544944316148758,0,0,3,0,0.2429886758327484,h,90,DMR,5
9749,27748,Donyell Malen,0,0,0,0,0,0,0,0,h,61,DML,6
604,27748,Emre Can,0,0,0,0,0,0,0,0,h,83,MC,9
239,27748,Pascal Groß,0,1,0.03837599232792854,0,0,6,1,0.3082628548145294,h,90,MC,9
261,27748,Julian Brandt,0,3,0.08622278273105621,0,0,1,0,0.05128427967429161,h,87,AMC,12
5248,27748,Marcel Sabitzer,0,5,0.91197270154953,0,0,1,0,0.09759663045406342,h,83,AMC,12
10772,27748,Karim Adeyemi,0,2,0.20929035544395447,0,0,2,0,0.6470319032669067,h,61,FW,15
9202,27748,Felix Nmecha,0,0,0,0,0,0,0,0,h,7,Sub,17
10542,27748,Jamie Bynoe-Gittens,2,2,0.4875698685646057,0,0,1,0,0.08147139102220535,h,29,Sub,17
8137,27748,Maximilian Beier,0,0,0,0,0,1,0,0.03863631561398506,h,29,Sub,17
3349,27748,Ramy Bensebaini,0,0,0,0,0,1,1,0.42987060546875,h,3,Sub,17
8191,27748,Giovanni Reyna,0,0,0,0,0,0,0,0,h,7,Sub,17
5288,27753,Gregor Kobel,0,0,0,0,0,0,0,0,a,90,GK,1
7997,27753,Julian Ryerson,0,0,0,1,0,1,0,0.09391158074140549,a,90,DR,2
106,27753,Waldemar Anton,0,2,0.30592191219329834,1,0,1,0,0.043091192841529846,a,90,DC,3
75,27753,Niklas Süle,0,0,0,1,0,0,0,0,a,58,DC,3
7485,27753,Nico Schlotterbeck,0,1,0.358583927154541,0,1,1,0,0.0210023932158947,a,74,DL,4
239,27753,Pascal Groß,0,1,0.01840474270284176,1,0,3,0,0.7070788145065308,a,90,DMC,7
604,27753,Emre Can,0,0,0,0,0,0,0,0,a,90,DMC,7
5248,27753,Marcel Sabitzer,0,1,0.0210023932158947,0,0,0,0,0,a,90,AMR,11
261,27753,Julian Brandt,0,2,0.1128368154168129,0,0,1,0,0.01840474270284176,a,78,AMC,12
10542,27753,Jamie Bynoe-Gittens,0,0,0,0,0,1,0,0.01892523467540741,a,58,AML,13
8137,27753,Maximilian Beier,0,0,0,0,0,0,0,0,a,72,FW,15
9202,27753,Felix Nmecha,0,0,0,0,0,0,0,0,a,12,Sub,17
3349,27753,Ramy Bensebaini,0,0,0,1,0,0,0,0,a,32,Sub,17
9749,27753,Donyell Malen,0,1,0.058460600674152374,0,0,0,0,0,a,18,Sub,17
10772,27753,Karim Adeyemi,0,1,0.043091192841529846,0,0,0,0,0,a,32,Sub,17
5288,27760,Gregor Kobel,0,0,0,0,0,0,0,0,h,90,GK,1
7997,27760,Julian Ryerson,0,0,0,0,0,2,1,0.1524858921766281,h,90,DR,2
106,27760,Waldemar Anton,0,0,0,0,0,0,0,0,h,90,DC,3
75,27760,Niklas Süle,0,0,0,0,0,0,0,0,h,90,DC,3
3349,27760,Ramy Bensebaini,0,1,0.011930749751627445,0,0,0,0,0,h,74,DL,4
239,27760,Pascal Groß,0,1,0.040396686643362045,0,0,1,0,0.05760763958096504,h,90,DMC,7
9202,27760,Felix Nmecha,0,0,0,0,0,1,0,0.08351726084947586,h,90,DMC,7
9749,27760,Donyell Malen,1,3,0.2157200425863266,0,0,0,0,0,h,61,AMR,11
261,27760,Julian Brandt,0,0,0,0,0,2,1,0.37382498383522034,h,81,AMC,12
